,일주일 식단
13,"[[['콩나물김치국', '삼치무조림', '시금치나물', '오이생채', '배추김치'], ['쇠고기미역국', '계란야채말이', '미나리나물', '도라지나물', '배추김치'], ['카레라이스', '팽이버섯된장국', '오이양파무침', '배추김치', '과일음료']], [['오징어무국', '가자미구이', '검정콩조림', '세발나물', '배추김치'], ['삼색수제비국', '동그랑땡전', '새송이버섯볶음', '마늘쫑장아찌무침', '배추김치'], ['찰현미밥', '순두부찌개', '청파래오징어까스&소스', '무생채액젓무침', '과일샐러드', '배추김치']], [['검정쌀밥', '감자호박고추장국', '만두강정', '어묵치즈라볶이', '참나물무침', '배추김치'], ['북어채무두부국', '돈육메추리알장조림', '감자채햄볶음', '얼갈이나물', '배추김치'], ['건새우미역국', '돼지갈비단호박찜', '봄동겉절이', '숙주맛살무침', '배추김치']], [['육개장', '순대야채볶음', '마카로니샐러드', '애호박볶음', '석박지'], ['코다리두부국', '사각어묵꽈리고추볶음', '쫄단무지무침', '숙주나물', '배추김치'], ['차조밥', '쑥된장국', '고등어카레구이', '양배추쌈&양념장', '새콤미나리무침', '배추김치']], [['쇠고기무국', '참조기구이', '진미채볶음', '취나물무침', '배추김치'], ['물만두국', '해물완자전', '부추나물', '깻잎지', '배추김치'], ['콩나물국', '돈육불고기', '상추겉절이', '요구르트', '배추김치']], [['꽃게된장국', '계란야채말이', '염장다시마&초고추장', '시금치나물', '배추김치'], ['누룽지', '가자미구이', '김자반무침', '오이양파무침', '배추김치'], ['건새우미역국', '닭감자조림', '양배추&무 피클', '세발나물', '배추김치']], [['어묵무쑥갓국', '오징어무미나리초무침', '느타리버섯새우살볶음', '연두부&양념장', '배추김치'], ['돈육김치찌개', '삼치무조림', '콩나물무침', '참나물무침', '깍두기'], ['보리쌀밥', '우렁살된장찌개', '어묵잡채볶음', '연근조림', '가지무침', '배추김치']]]"
14,"[[['삼색수제비국', '해물파전', '꼬시래기무침', '치커리사과무침', '배추김치'], ['북어채무두부국', '계란장조림', '감자채햄볶음', '고추지무침', '배추김치'], ['게살유부초밥', '잔치국수', '단무지잔파쏭쏭무침', '배추김치', '요구르트']], [['얼갈이된장국', '쫄면야채무침', '잡채군만두&양념장', '취나물무침', '배추김치'], ['오징어무국', '사각어묵고추장볶음', '깻잎지', '숙주나물', '배추김치'], ['강황쌀밥', '육개장', '게맛살계란말이', '알감자엿조림', '실곤약야채무침', '배추김치']], [['감자호박고추장국', '떡갈비새송이버섯조림', '진미채볶음', '얼갈이나물', '배추김치'], ['물만두국', '꽁치무조림', '미역줄기볶음', '세발나물', '배추김치'], ['보리쌀밥', '팽이버섯된장국', '제육볶음&상추쌈', '콩나물무침', '배추김치']], [['닭곰탕', '두부조림', '오이양파무침', '미나리나물', '배추김치'], ['누룽지', '해물완자전', '도라지들깨볶음', '시금치나물', '배추김치'], ['돈뼈감자탕', '삼치카레구이', '김자반볶음', '무생채액젓무침', '배추김치']], [['계란미역국', '고등어무조림', '깻잎순볶음', '숙주나물', '배추김치'], ['쇠고기무두부국', '가자미구이', '명엽채볶음', '비름나물', '깍두기'], ['검정쌀밥', '순두부찌개', '미니돈까스&소스', '콜슬로우샐러드', '도라지오이초무침', '배추김치']], [['육개장', '생선까스&소스', '가지무침', '오징어젓무침', '배추김치'], ['참치김치찌개', '동그랑땡전', '연근조림', '깍두기', '상추겉절이'], ['시래기된장국', '닭감자조림', '잔멸치고추장볶음', '솎음열무나물', '배추김치']], [['쇠고기무국', '쫄면야채무침', '조미김', '새송이버섯볶음', '배추김치'], ['북어채무두부국', '오색산적전', '숙주나물', '부추생채', '배추김치'], ['해물굴소스볶음밥', '유부두부장국', '새콤미나리무침', '배추김치', '유기농쌀식혜']]]"
15,"[[['왕만두국', '갈치카레구이', '진미채볶음', '쌈배추나물', '배추김치'], ['건새우미역국', '분홍소세지계란전', '도라지나물', '솎음열무나물', '배추김치'], ['찰현미밥', '아욱된장국', '등심돈까스&소스', '과일샐러드', '참나물겉절이', '배추김치']], [['추어탕', '단호박고구마샐러드', '미트볼조림', '시금치나물', '배추김치'], ['코다리두부국', '가자미구이', '느타리버섯볶음', '부추나물', '배추김치'], ['검정쌀밥', '동태알탕', '해물김치전', '색색야채계란찜', '돌나물무초무침', '석박지']], [['기장밥', '부대찌개', '색동우엉잡채볶음', '쑥갓나물', '깻잎장아찌무침', '배추김치'], ['누룽지', '해물완자전', '오이생채', '도라지들깨볶음', '배추김치'], ['짜장라이스', '잔파계란국', '단무지채쏭쏭무침', '배추김치', '찰토마토']], [['육개장', '온두부&양념장', '사각어묵고추장볶음', '숙주나물', '참치김치볶음'], ['물만두국', '곤약메추리알장조림', '마늘쫑장아찌무침', '멸치아몬드조림', '배추김치'], ['검정쌀밥', '쇠고기미역국', '안동찜닭', '새콤무생채', '미나리나물', '배추김치']], [['팽이버섯된장국', '오삼불고기', '상추겉절이', '요구르트', '배추김치'], ['콩나물국', '코다리땅콩엿조림', '새콤미나리무침', '시금치나물', '배추김치'], ['돈육김치찌개', '참조기구이', '미역줄기볶음', '도라지들깨볶음', '깍두기']], [['돈뼈감자탕', '계란야채말이', '오이생채', '쌈배추나물', '배추김치'], ['삼색수제비국', '비엔나소세지야채볶음', '감자채볶음', '무장아찌무침', '배추김치'], ['오징어무국', '순대야채볶음', '메밀묵김가루무침', '솎음열무나물', '배추김치']], [['검정콩밥', '닭개장', '탕수육&소스', '실곤약야채무침', '시금치나물', '배추김치'], ['어묵무쑥갓국', '삼치카레구이', '멸치고추장무침', '느타리버섯볶음', '배추김치'], ['콩나물밥&부추양념장', '건새우아욱된장국', '오리정육야채볶음', '골뱅이오이초무침', '배추김치']]]"
16,"[[['두부호박청국장국', '청파래오징어까스&소스', '스위트콘샐러드', '오이양파무침', '배추김치'], ['시래기된장국', '게맛살계란말이', '명엽채볶음', '취나물무침', '배추김치'], ['물만두국', '고등어무조림', '냉동새우튀김&케찹', '참나물겉절이', '배추김치']], [['육개장', '분홍소세지전', '솎음열무나물', '미역줄기볶음', '배추김치'], ['동태알탕', '연두부&양념장', '검정콩조림', '미나리나물', '배추김치'], ['검정쌀밥', '돈뼈감자탕', '계란장조림', '오징어시금치초무침', '느타리버섯새우살볶음', '배추김치']], [['하이라이스', '잔파계란국', '가지무침', '배추김치', '요구르트'], ['북어채계란국', '미트볼조림', '도시락김', '오이생채', '배추김치'], ['보리쌀밥', '유부팽이버섯된장국', '돈육불고기', '양배추쌈&양념장', '숙주나물', '배추김치']], [['돈육김치국', '어묵잡채볶음', '조미김', '유채나물', '석박지'], ['누룽지', '해물완자전', '새송이버섯볶음', '얼갈이나물', '배추김치'], ['찰현미밥', '건새우미역국', '닭감자조림', '쑥갓나물', '샐러드&키위드레싱', '배추김치']], [['종합어묵쑥갓국', '참조기구이', '애호박볶음', '콩나물무침', '배추김치'], ['근대된장국', '가자미구이', '돈육메추리알장조림', '무말랭이장아찌무침', '배추김치'], ['유부우동', '오징어링튀김', '도라지오이초무침', '배추김치', '요구르트']], [['콩나물김치국', '가자미구이', '김자반볶음', '무생채액젓무침', '배추김치'], ['코다리두부국', '사각어묵고추장볶음', '숙주부추나물', '감자엿조림', '배추김치'], ['꽃게탕', '쇠고기야채볶음', '쌈무&오이스틱', '콩나물매운무침', '배추김치']], [['물만두국', '해물완자전', '멸치꽈리고추조림', '상추겉절이', '배추김치'], ['누룽지', '돈육메추리알장조림', '진미채볶음', '오이생채', '배추김치'], ['순두부찌개', '생선까스&소스', '샐러드&키위드레싱', '시금치나물', '배추김치']]]"
17,"[[['돈뼈감자탕', '순대야채볶음', '애호박볶음', '김자반볶음', '배추김치'], ['누룽지', '미트볼조림', '도토리묵&양념장', '유채나물', '배추김치'], ['짜장라이스', '잔파계란국', '단무지채쏭쏭무침', '딸기', '배추김치']], [['육개장', '탕수육&소스', '가지볶음', '진미채볶음', '배추김치'], ['북어채계란국', '가자미구이', '감자채볶음', '오이생채', '배추김치'], ['보리쌀밥', '참치김치찌개', '어묵잡채볶음', '마늘쫑건새우엿조림', '새콤무생채', '알타리김치']], [['기장밥', '유부팽이버섯된장국', '계란야채말이', '미나리나물', '오이소박이', '갓김치'], ['건새우미역국', '알어묵피망조림', '온두부&양념장', '얼갈이나물', '배추김치'], ['영양닭죽', '오징어무미나리초무침', '냉동새우튀김&케찹', '매실냉차', '배추김치']], [['장어탕', '분홍소세지전', '어묵떡볶이', '시금치나물', '배추김치'], ['감자수제비국', '참조기구이', '꼬시래기무침', '솎음열무나물', '배추김치'], ['보리쌀밥', '육개장', '캔꽁치김치조림', '김자반무침', '가쓰오브시계란말이', '알타리김치']], [['쇠고기미역국', '새우젓계란찜', '멸치꽈리고추조림', '명엽채볶음', '배추김치'], ['종합어묵쑥갓국', '두부조림', '가지무침', '느타리버섯새우살볶음', '배추김치'], ['시래기된장국', '오삼불고기', '쌈무&오이스틱', '콩나물무침', '배추김치']], [['꽃게탕', '돈육계란장조림', '진미채볶음', '메밀잎나물', '깍두기'], ['물만두국', '동그랑땡전', '도라지나물', '실곤약야채무침', '배추김치'], ['돈뼈감자탕', '고등어무조림', '솎음열무나물', '숙주나물', '배추김치']], [['오리탕', '어묵잡채볶음', '오이생채', '돌나물무초무침', '배추김치'], ['북어채콩나물국', '삼치카레구이', '염장다시마&초고추장', '검정콩조림', '배추김치'], ['동태탕', '닭살코기야채깻잎볶음', '오징어브로컬리냉채&초고추장', '가지볶음', '배추김치']]]"
18,"[[['얼갈이된장국', '계란야채말이', '느타리버섯볶음', '꽁치김치조림', '깍두기'], ['건새우미역국', '해물완자전', '명엽채볶음', '고구마순나물', '배추김치'], ['하이라이스', '유부두부장국', '솎음열무초고추장무침', '쫄단무지무침', '배추김치']], [['육개장', '고등어카레구이', '양배추쌈&양념장', '무생채액젓무침', '배추김치'], ['코다리두부국', '미트볼조림', '도라지나물', '쑥갓나물', '배추김치'], ['찰현미밥', '장어탕', '돈육계란장조림', '해물볶음우동', '애호박새우살볶음', '배추김치']], [['순두부찌개', '가자미구이', '숙주부추나물', '치커리사과무침', '갓김치'], ['누룽지', '감자엿조림', '알어묵피망조림', '미역초무침', '배추김치'], ['검정쌀밥', '꽃게탕', '떡갈비새송이버섯조림', '곤약메추리알장조림', '꼬시래기무침', '배추김치']], [['김치참치주먹밥', '잔치국수', '단무지잔파쏭쏭무침', '쥬시쿨', '알타리김치'], ['물만두국', '비엔나소세지감자조림', '가지무침', '애호박볶음', '배추김치'], ['건새우아욱된장국', '제육볶음&상추쌈', '콩나물매운무침', '오렌지', '배추김치']], [['콩나물매운국', '소고기불고기', '쑥갓나물', '고추지무침', '배추김치'], ['삼색수제비국', '계란야채말이', '스위트콘샐러드', '도라지오이초무침', '배추김치'], ['두부호박청국장국', '닭감자조림', '마늘쫑건새우엿조림', '유채나물', '배추김치']], [['돈뼈감자탕', '마카로니샐러드', '청파래오징어까스&소스', '참나물겉절이', '배추김치'], ['종합어묵쑥갓국', '두부전&양념장', '멸치아몬드조림', '시금치나물', '배추김치'], ['건새우미역국', '알어묵고추장조림', '메추리알새송이버섯조림', '솎음열무나물', '배추김치']], [['꽃게탕', '미니돈까스&소스', '치커리사과무침', '표고버섯새우살볶음', '배추김치'], ['누룽지', '꽁치무조림', '세발나물', '도라지오이초무침', '배추김치'], ['검정쌀밥', '닭개장', '고등어순살김치조림', '치즈떡어묵메추리알떡볶이', '부추오이무침', '열무김치']]]"
19,"[[['감자호박고추장국', '안동찜닭', '참나물겉절이', '양배추&무 피클', '배추김치'], ['오징어무국', '계란야채말이', '알어묵피망조림', '시금치나물', '배추김치'], ['시래기된장국', '돈수육&새우젓무침', '깻잎장아찌무침', '바나나', '배추김치']], [['검정쌀밥', '돈육김치찌개', '삼치카레구이', '취나물무침', '연근조림', '알타리김치'], ['코다리두부국', '잔멸치메추리알장조림', '미역줄기볶음', '솎음열무나물', '배추김치'], ['찰현미밥', '콩나물매운국', '치즈 인 치킨까스', '부추오이무침', '참치야채볶음', '배추김치']], [['북어채무두부국', '순대야채볶음', '더덕장아찌무침', '냉동새우튀김&케찹', '배추김치'], ['두부청국장찌개', '동그랑땡전', '느타리버섯새우살볶음', '오징어젓무침', '배추김치'], ['완두콩밥', '쇠고기미역국', '오징어야채볶음', '애호박새우젓볶음', '세발나물', '배추김치']], [['장어탕', '두부조림', '쑥갓나물', '새송이버섯새우살볶음', '석박지'], ['콩나물국', '고등어카레구이', '부들어묵꽈리고추볶음', '숙주나물', '배추김치'], ['유부꽃어묵우동', '과일샐러드', '단무지채쏭쏭무침', '식빵튀김', '배추김치']], [['건새우미역국', '해물완자전', '솎음열무나물', '참치김치볶음', '석박지'], ['꽃게된장국', '알어묵피망조림', '색색야채계란찜', '오이상추무침', '배추김치'], ['검정쌀밥', '아욱된장국', '돈육잡채볶음', '콩나물매운무침', '오징어링튀김', '배추김치']], [['두부호박청국장국', '제육볶음&상추쌈', '무생채액젓무침', '요구르트', '배추김치'], ['물만두국', '삼치카레구이', '연근조림', '가지무침', '배추김치'], ['삼색수제비국', '계란장조림', '느타리버섯볶음', '오이지양념무침', '배추김치']], [['돈뼈감자탕', '연두부계란찜', '진미채볶음', '시금치나물', '배추김치'], ['콩나물김치국', '게맛살계란말이', '감자엿조림', '비름나물', '깍두기'], ['해물굴소스볶음밥', '팽이버섯된장국', '도라지오이초무침', '미나리나물', '오렌지', '배추김치']]]"
20,"[[['두부호박청국장국', '고등어무조림', '오이지양념무침', '김자반볶음', '배추김치'], ['크림스프', '모닝빵&딸기쨈', '스크램블에그', '애호박새우살볶음', '배추김치'], ['검정쌀밥', '콩나물국', '닭감자조림', '새송이버섯새우살볶음', '꼬시래기무침', '배추김치']], [['육개장', '순대야채볶음', '애호박새우살볶음', '다진새송이해물전', '배추김치'], ['북어채무두부국', '동그랑땡전', '메밀묵김가루무침', '깻잎지', '배추김치'], ['찰현미밥', '건새우미역국', '쇠고기낙지야채볶음', '실곤약야채무침', '콩나물매운무침', '배추김치']], [['돈육김치찌개', '생선까스&소스', '깻잎순볶음', '마카로니샐러드', '갓김치'], ['호박두부된장국', '가자미구이', '표고버섯새우살볶음', '부들어묵꽈리고추볶음', '배추김치'], ['카레라이스', '얼갈이된장국', '무생채액젓무침', '방울토마토', '배추김치']], [['찰현미밥', '꽃게된장국', '게맛살계란말이', '검정콩조림', '미역줄기볶음', '배추김치'], ['오징어무국', '미트볼조림', '머위대들깨나물', '부추오이무침', '배추김치'], ['톳밥', '동태탕', '탕수육칠리소스볶음', '골뱅이오이초무침', '과일샐러드', '배추김치']], [['쇠고기무국', '해물김치전', '참치야채볶음', '솎음열무나물', '석박지'], ['종합어묵쑥갓국', '쇠고기메추리알장조림', '조미김', '가지무침', '배추김치'], ['근대된장국', '고등어카레구이', '숙주나물', '오이생채', '배추김치&찐감자']], [['코다리두부국', '계란장조림', '도라지나물', '김자반무침', '배추김치'], ['누룽지', '삼치카레구이', '참나물겉절이', '진미채볶음', '배추김치'], ['건새우미역국', '오리정육야채볶음', '치커리사과무침', '요구르트', '배추김치']], [['감자호박고추장국', '떡갈비새송이버섯조림', '얼갈이나물', '멸치호두볶음', '배추김치'], ['물만두국', '참치계란야채전', '쫄단무지무침', '부추오이무침', '배추김치'], ['찰현미밥', '참치김치찌개', '돼지갈비단호박찜', '오징어무미나리초무침', '오이소박이', '열무김치']]]"
21,"[[['장어탕', '돈육잡채볶음', '느타리버섯새우살볶음', '부추적채겉절이', '참치김치볶음'], ['코다리두부국', '감자엿조림', '게맛살계란말이', '비름나물', '배추김치'], ['비빔밥', '두부된장국', '배추김치', '고구마&단호박 튀김', '요구르트']], [['두부호박청국장국', '캔꽁치김치조림', '연근조림', '가지무침', '알타리김치'], ['새우살미역국', '두부조림', '마늘쫑건새우엿조림', '느타리버섯새우살볶음', '배추김치'], ['차조밥', '쇠고기떡국', '잔멸치메추리알장조림', '오이양파무침', '천사채샐러드', '배추김치']], [['근대된장국', '닭감자조림', '새송이버섯볶음', '찰토마토', '배추김치'], ['코다리두부국', '돈육계란장조림', '무생채액젓무침', '메밀잎나물', '배추김치'], ['보리쌀밥', '쇠고기미역국', '삼치카레구이', '떡갈비조림', '참나물겉절이', '배추김치']], [['유부팽이버섯된장국', '새우부추만두', '연근조림', '쫄면야채무침', '배추김치'], ['콩나물매운국', '미트볼조림', '검정콩조림', '취나물무침', '배추김치'], ['찰현미밥', '쇠고기미역국', '계란야채말이', '두부조림', '꼬시래기무침', '배추김치']], [['돈육김치찌개', '해물완자전', '새송이버섯새우살볶음', '숙주미나리나물', '석박지'], ['알어묵국', '비엔나소세지야채볶음', '김자반볶음', '무생채액젓무침', '배추김치'], ['물만두국', '오징어야채볶음', '도토리묵치커리무침', '단무지채쏭쏭무침', '배추김치']], [['건새우미역국', '닭살코기야채깻잎볶음', '고구마줄기볶음', '더덕장아찌무침', '배추김치'], ['아욱된장국', '참조기구이', '도라지들깨볶음', '깻잎지', '배추김치'], ['김치참치주먹밥', '잔치국수', '오징어링튀김', '쥬시쿨', '배추김치']], [['순두부찌개', '동그랑땡전', '캔고등어김치조림', '부추오이무침', '열무김치'], ['북어채계란국', '비엔나소세지야채볶음', '김자반무침', '새콤무생채', '갓김치'], ['차조밥', '팽이버섯된장국', '오리정육야채볶음', '골뱅이오이초무침', '콩나물무침', '배추김치']]]"
22,"[[['감자수제비국', '순대야채볶음', '쑥갓두부무침', '마늘쫑건새우엿조림', '배추김치'], ['코다리두부국', '분홍소세지계란전', '숙주맛살무침', '애호박새우젓볶음', '배추김치'], ['짜장라이스', '잔파계란국', '단무지채쏭쏭무침', '배추김치', '요구르트', '냉동새우튀김&케찹']], [['건새우미역국', '생선까스&소스', '마카로니샐러드', '숙주맛살무침', '배추김치'], ['아욱된장국', '모닝빵&딸기쨈', '스위트콘샐러드', '떠먹는요거트', '배추김치'], ['돈뼈감자탕', '오징어야채볶음', '도라지오이초무침', '잔멸치메추리알장조림', '배추김치']], [['검정쌀밥', '참치김치찌개', '계란야채말이', '미역맛살무침', '검정콩조림', '알타리김치'], ['삼색수제비국', '미트볼조림', '시금치나물', '잔멸치고추장볶음', '배추김치'], ['종합어묵쑥갓국', '떡갈비새송이버섯조림', '오징어무미나리초무침', '과일샐러드', '배추김치']], [['꽃게탕', '미트볼칠리소스조림', '해물파전', '치커리생채', '배추김치'], ['알어묵국', '가자미무조림', '새송이버섯새우살볶음', '무말랭이장아찌무침', '배추김치'], ['감자호박된장국', '돼지갈비조랭이떡찜', '해물볶음우동', '오이양파무침', '배추김치']], [['두부청국장찌개', '어묵떡볶이', '새우젓계란찜', '미역초무침', '배추김치'], ['누룽지', '연두부&양념장', '멸치아몬드조림', '콩나물매운무침', '배추김치'], ['찰현미밥', '쇠고기미역국', '삼치카레구이', '가지무침', '참나물무침', '배추김치']], [['물만두국', '닭감자조림', '미역줄기볶음', '쑥갓나물', '배추김치'], ['콩나물매운국', '가자미구이', '머위대들깨나물', '마늘쫑건새우엿조림', '배추김치'], ['오징어무국', '치킨까스&소스', '실곤약야채무침', '애호박새우젓볶음', '배추김치']], [['북어채계란국', '돈육불고기', '풋고추쌈장무침', '김자반볶음', '알타리김치'], ['유부두부장국', '오리훈제버섯볶음', '진미채볶음', '오이지양념무침', '배추김치'], ['보리쌀밥', '육개장', '어묵잡채볶음', '오징어브로컬리냉채&초고추장', '새송이버섯새우살볶음', '열무김치']]]"
23,"[[['아욱된장국', '분홍소세지전', '고구마줄기볶음', '숙주나물', '배추김치'], ['누룽지', '삼치카레구이', '염장다시마&초고추장', '상추겉절이', '배추김치'], ['차조밥', '쇠고기미역국', '참치두부조림', '게맛살계란말이', '얼갈이나물', '알타리김치']], [['돼지등뼈시래기탕', '메추리알새송이버섯조림', '깻잎장아찌무침', '조미김', '배추김치'], ['쇠고기야채죽', '시래기된장국', '연근조림', '감자채볶음', '배추김치'], ['닭개장', '고등어카레구이', '솎음열무초고추장무침', '염장다시마&초고추장', '배추김치']], [['오리탕', '탕수만두&소스', '얼갈이나물', '단무지잔파쏭쏭무침', '열무김치'], ['쇠고기무두부국', '미트볼조림', '느타리버섯새우살볶음', '오이양파무침', '배추김치'], ['해물굴소스볶음밥', '시래기된장국', '숙주미나리나물', '실곤약야채무침', '매실냉차', '배추김치']], [['육개장', '청파래오징어까스&소스', '스위트콘샐러드', '시금치나물', '배추김치'], ['북어채무두부국', '캔꽁치무조림', '죽순나물', '미역줄기볶음', '배추김치'], ['톳밥', '미역오이냉국', '닭감자조림', '고구마줄기볶음', '콩나물무침', '배추김치']], [['얼갈이된장국', '오징어야채볶음', '가지볶음', '양배추&무 피클', '배추김치'], ['쇠고기떡국', '두부조림', '참나물무침', '마늘쫑건새우엿조림', '배추김치'], ['보리쌀밥', '돈육김치찌개', '게맛살계란말이', '김자반무침', '솎음열무나물', '깍두기']], [['건새우미역국', '떡갈비새송이버섯조림', '깻잎장아찌무침', '애호박새우살볶음', '배추김치'], ['두부계란국', '삼치카레구이', '상추겉절이', '오이지양념무침', '배추김치'], ['육개장', '탕수육&소스', '비름나물', '가지무침', '배추김치']], [['아욱된장국', '캔꽁치김치조림', '새송이버섯새우살볶음', '마늘쫑장아찌무침', '갓김치'], ['콩나물김치국', '고등어무조림', '진미채볶음', '염장다시마&초고추장', '깍두기'], ['차조밥', '오징어무국', '가쓰오브시계란말이', '감자채볶음', '쫄면야채무침', '열무김치']]]"
24,"[[['돼지등뼈시래기탕', '계란장조림', '도라지들깨볶음', '멸치꽈리고추조림', '배추김치'], ['건새우미역국', '가자미구이', '오이양파무침', '시금치나물', '배추김치'], ['콩나물국', '등심돈까스&소스', '참치김치볶음', '솎음열무나물', '과일샐러드']], [['북어채무두부국', '제육볶음&상추쌈', '콩나물매운무침', '배추김치'], ['물만두국', '두부전&양념장', '김자반무침', '머위대들깨나물', '배추김치'], ['종합어묵쑥갓국', '삼치카레구이', '숙주미나리나물', '양배추쌈&양념장', '배추김치']], [['코다리두부국', '오리정육야채볶음', '부추생채', '오이지양념무침', '배추김치'], ['팽이버섯된장국', '비엔나소세지야채볶음', '죽순나물', '꼴두기젓무침', '배추김치'], ['콩국수', '오징어무미나리초무침', '숙주맛살무침', '찐감자', '열무김치']], [['육개장', '생선까스&소스', '연근조림', '시금치나물', '배추김치'], ['참치김치찌개', '미트볼조림', '콩나물무침', '멸치엿조림', '석박지'], ['하이라이스', '시래기된장국', '무생채액젓무침', '떠먹는요거트', '배추김치']], [['장어탕', '두부조림', '미역줄기볶음', '가지무침', '배추김치'], ['두부호박청국장국', '고등어카레구이', '고구마줄기볶음', '깻잎지', '배추김치'], ['김가루주먹밥', '잔치국수', '단무지채쏭쏭무침', '오징어링튀김', '배추김치']], [['꽃게된장국', '치킨텐더&머스타드소스', '감자고추장엿조림', '숙주맛살무침', '배추김치'], ['누룽지', '코다리순살무조림', '도라지새우살볶음', '솎음열무초고추장무침', '석박지'], ['콩나물냉국', '소고기불고기', '쌈무&오이스틱', '참나물겉절이', '배추김치']], [['오리탕', '다진새송이해물전', '김자반무침', '숙주나물', '석박지'], ['삼색수제비국', '미트볼칠리소스조림', '미역줄기볶음', '오복채무침', '배추김치'], ['미역오이냉국', '닭감자조림', '오징어무미나리초무침', '머위대들깨나물', '배추김치']]]"
25,"[[['육개장', '순대야채볶음', '검정콩조림', '쫄단무지무침', '배추김치'], ['근대된장국', '모닝빵&블루베리쨈', '떠먹는요거트', '진미채볶음', '배추김치'], ['찰현미밥', '돼지등뼈시래기탕', '치즈 인 치킨까스', '꼬시래기무침', '가지무침', '배추김치']], [['건새우미역국', '고구마치즈돈까스&소스', '오이양파무침', '마카로니샐러드', '배추김치'], ['오징어무국', '두부조림', '감자채볶음', '명엽채볶음', '배추김치'], ['보리쌀밥', '참치김치찌개', '어묵잡채볶음', '김자반볶음', '애호박볶음', '열무김치']], [['시래기된장국', '고등어무조림', '멸치아몬드조림', '조미김', '열무김치'], ['어묵무쑥갓국', '색색야채계란찜', '검정콩조림', '도토리묵치커리무침', '깍두기'], ['보리쌀밥', '콩나물김치국', '제육볶음&상추쌈', '수박', '열무김치']], [['건새우미역국', '해물김치전', '진미채볶음', '콩나물무침', '열무김치'], ['누룽지', '연두부&양념장', '알어묵피망조림', '콜슬로우샐러드', '배추김치'], ['비빔밥', '시래기된장국', '오이양파무침', '찐감자', '유기농쌀식혜', '배추김치']], [['돈뼈감자탕', '부들어묵꽈리고추볶음', '미역줄기볶음', '참나물무침', '배추김치'], ['북어채무두부국', '감자채햄볶음', '해물완자전', '무말랭이장아찌무침', '배추김치'], ['감자호박고추장국', '갈치카레구이', '김자반볶음', '시금치나물', '석박지']], [['돈뼈감자탕', '참치계란야채전', '색동우엉잡채볶음', '오복채무침', '배추김치'], ['아욱된장국', '꽁치무조림', '조미김', '오이상추무침', '배추김치'], ['콩나물맑은국', '쇠고기야채볶음', '쌈무&오이스틱', '미역맛살무침', '배추김치']], [['미역오이냉국', '감자메추리알조림', '야채고로케&케찹', '가지무침', '배추김치'], ['북어채무두부국', '비엔나소세지야채볶음', '솎음열무나물', '멸치아몬드조림', '배추김치'], ['얼갈이된장국', '고등어카레구이', '실곤약야채무침', '미역줄기볶음', '배추김치']]]"
