,일주일 식단
26,"[[['부대찌개', '순대야채볶음', '감자채볶음', '부추나물', '석박지'], ['누룽지', '사각어묵고추장볶음', '애호박새우살볶음', '색색야채계란찜', '배추김치'], ['검정쌀밥', '콩나물냉국', '쇠고기낙지야채볶음', '노각무침', '미역줄기볶음', '배추김치']], [['돈뼈감자탕', '삼치카레구이', '도라지오이초무침', '진미채볶음', '배추김치'], ['삼색수제비국', '쇠고기계란장조림', '오이생채', '숙주미나리나물', '배추김치'], ['근대된장국', '돼지갈비단호박찜', '골뱅이소면무침', '솎음열무나물', '석박지']], [['육개장', '미트볼조림', '느타리버섯새우살볶음', '으깬감자샐러드', '배추김치'], ['물만두국', '멸치호두볶음', '알어묵피망조림', '새콤무생채', '배추김치'], ['짜장라이스', '잔파계란국', '쫄단무지무침', '콩나물무침', '수박', '배추김치']], [['건새우미역국', '분홍소세지전', '진미채볶음', '애호박볶음', '열무김치'], ['쇠고기무국', '두부조림', '잔멸치고추장볶음', '마늘쫑건새우엿조림', '배추김치'], ['톳밥', '북어채계란국', '닭감자조림', '죽순나물', '콩나물무침', '배추김치']], [['유부두부장국', '돈육불고기', '풋고추&오이&쌈장', '매실냉차', '배추김치'], ['돈육김치찌개', '해물완자전', '감자채볶음', '쑥갓나물', '깍두기'], ['오징어무국', '삼치김치조림', '미역초무침', '얼갈이나물', '석박지']], [['감자호박된장국', '어묵떡볶이', '잡채군만두&양념장', '참나물무침', '배추김치'], ['코다리두부국', '감자메추리알조림', '미역줄기볶음', '가지무침', '배추김치'], ['김가루주먹밥', '잔치국수', '요구르트', '찐감자', '배추김치']], [['추어탕', '게맛살계란말이', '멸치아몬드조림', '콩나물무침', '배추김치'], ['크림스프', '모닝빵&딸기쨈', '명엽채볶음', '솎음열무나물', '배추김치'], ['참치김치찌개', '등심돈까스&소스', '천사채샐러드', '부추적채겉절이', '깍두기']]]"
27,"[[['건새우미역국', '돈육계란장조림', '부들어묵꽈리고추볶음', '마늘쫑장아찌무침', '배추김치'], ['감자수제비국', '미트볼조림', '애호박새우젓볶음', '김자반무침', '배추김치'], ['카레라이스', '얼갈이된장국', '도라지오이초무침', '매실냉차', '배추김치']], [['물만두국', '생선까스&소스', '단호박고구마샐러드', '깻잎장아찌무침', '배추김치'], ['쇠고기무두부국', '새우젓계란찜', '검정콩조림', '표고버섯새우살볶음', '배추김치'], ['콩국수', '오이소박이', '열무김치', '찐감자']], [['하이라이스', '팽이버섯된장국', '오이양파무침', '오징어링튀김', '배추김치'], ['누룽지', '두부조림', '도라지오이초무침', '느타리버섯볶음', '배추김치'], ['종합어묵쑥갓국', '치킨까스&소스', '오이&양파피클', '김가루무침', '배추김치']], [['오리탕', '온두부&양념장', '애호박전', '김자반볶음', '배추김치'], ['두부호박청국장국', '가자미구이', '멸치고추장무침', '새콤무생채', '배추김치'], ['열무비빔국수', '시래기된장국', '표고버섯새우살볶음', '찐옥수수', '배추김치']], [['아욱된장국', '돼지갈비떡찜', '꼬시래기무침', '느타리버섯볶음', '깍두기'], ['오징어무국', '비엔나소세지야채볶음', '쫄단무지무침', '얼갈이나물', '배추김치'], ['검정쌀밥', '닭개장', '고등어카레구이', '쫄면야채무침', '시금치나물', '배추김치']], [['장어탕', '해물김치전', '솎음열무나물', '가지볶음', '배추김치'], ['북어채무두부국', '동그랑땡전', '애호박볶음', '깻잎장아찌무침', '배추김치'], ['건새우아욱된장국', '쇠고기야채볶음', '쌈무&오이스틱', '매실냉차', '배추김치']], [['미역오이냉국', '순대야채볶음', '꼴두기젓무침', '사각어묵꽈리고추볶음', '배추김치'], ['콩나물국', '함박스테이크/소스', '노각무침', '스위트콘샐러드', '배추김치'], ['시래기된장국', '제육볶음&상추쌈', '수박', '배추김치']]]"
28,"[[['아욱된장국', '고등어카레구이', '도토리묵치커리무침', '애호박볶음', '배추김치'], ['누룽지', '연두부계란찜', '도라지나물', '부추생채', '배추김치'], ['영양닭죽', '노각무침', '풋고추쌈장무침', '고구마튀김', '과일음료', '열무김치']], [['콩나물국', '제육볶음&상추쌈', '매실냉차', '배추김치'], ['쇠고기무국', '어묵잡채볶음', '명엽채볶음', '참나물무침', '배추김치'], ['육개장', '두부조림', '김자반무침', '치즈떡어묵메추리알떡볶이', '열무김치']], [['감자호박고추장국', '고구마치즈돈까스&소스', '미역초무침', '스위트콘샐러드', '배추김치'], ['감자수제비국', '미트볼조림', '상추겉절이', '알어묵피망조림', '배추김치'], ['김치볶음밥', '시래기된장국', '동그랑땡전', '바나나우유', '열무김치']], [['돈뼈감자탕', '온두부&양념장', '쫄면야채무침', '김자반무침', '참치김치볶음'], ['얼갈이된장국', '감자메추리알조림', '분홍소세지전', '가지무침', '배추김치'], ['팥칼국수', '오이소박이', '숙주맛살무침', '찐옥수수', '배추김치']], [['닭곰탕', '계란야채말이', '검정콩조림', '미역오이채초무침', '배추김치'], ['북어채무두부국', '가자미구이', '조미김', '부추생채', '배추김치'], ['보리쌀밥', '물만두국', '떡갈비새송이버섯조림', '도라지오이초무침', '애호박새우살볶음', '배추김치']], [['부대찌개', '탕수육&소스', '염장다시마&초고추장', '도라지나물', '배추김치'], ['감자호박고추장국', '비엔나소세지야채볶음', '실곤약야채무침', '치커리사과무침', '배추김치'], ['쇠고기미역국', '두부조림', '참치야채볶음', '참나물겉절이', '배추김치']], [['종합어묵쑥갓국', '고등어순살김치조림', '진미채볶음', '솎음열무나물', '깍두기'], ['누룽지', '참조기구이', '도시락김', '알감자엿조림', '배추김치'], ['차조밥', '꽃게탕', '어묵잡채볶음', '멸치꽈리고추조림', '꼬시래기무침', '석박지']]]"
29,"[[['근대된장국', '색색야채계란찜', '멸치아몬드조림', '콩나물무침', '배추김치'], ['북어채무두부국', '애호박전', '부들어묵꽈리고추볶음', '미역초무침', '배추김치'], ['건새우미역국', '온두부&양념장', '참치김치볶음', '잔멸치메추리알장조림', '부추치커리액젓무침']], [['콩나물냉국', '오징어야채볶음', '쑥갓두부무침', '스위트콘샐러드', '알타리김치'], ['오징어무국', '돼지갈비떡찜', '오이생채', '고추지무침', '배추김치'], ['돼지등뼈시래기탕', '탕수육칠리소스볶음', '감자채볶음', '실곤약야채무침', '열무김치']], [['부대찌개', '잡채군만두&양념장', '단무지잔파쏭쏭무침', '치커리사과무침', '갓김치'], ['감자수제비국', '고등어카레구이', '오복채무침', '시금치나물', '배추김치'], ['하이라이스', '잔파계란국', '오징어링튀김', '우무콩냉국', '가지무침', '배추김치']], [['돼지등뼈시래기탕', '오리정육야채볶음', '김자반볶음', '부추생채', '배추김치'], ['두부호박청국장국', '게맛살계란말이', '명엽채볶음', '오이지양념무침', '석박지'], ['찰현미밥', '시래기된장국', '가자미구이', '해물볶음우동', '콩나물매운무침', '배추김치']], [['육개장', '돈육계란장조림', '깻잎지', '얼갈이나물', '배추김치'], ['순두부찌개', '치킨너겟&소스', '멸치아몬드조림', '참나물겉절이', '배추김치'], ['김가루주먹밥', '잔치국수', '요구르트', '핫도그&케찹', '열무김치']], [['쇠고기미역국', '미트볼조림', '감자메추리알조림', '새콤무생채', '배추김치'], ['물만두국', '삼치무조림', '사각어묵고추장볶음', '시금치나물', '배추김치'], ['오리탕', '비엔나소세지야채볶음', '오이&양파피클', '진미채볶음', '배추김치']], [['두부호박청국장국', '동그랑땡전', '감자엿조림', '느타리버섯새우살볶음', '배추김치'], ['물만두국', '게맛살계란말이', '감자고추장엿조림', '얼갈이나물', '배추김치'], ['검정쌀밥', '건새우미역국', '오징어야채볶음', '애호박전', '가지무침', '알타리김치']]]"
30,"[[['닭개장', '탕수육&소스', '미역줄기볶음', '무생채액젓무침', '열무김치'], ['참치김치찌개', '연근조림', '참치야채볶음', '콩나물무침', '깍두기'], ['해물굴소스볶음밥', '팽이버섯된장국', '꼬시래기무침', '노각무침', '수박', '배추김치']], [['콩나물국', '돈육불고기', '풋고추&쌈장', '요구르트', '배추김치'], ['오징어무국', '새우젓계란찜', '애호박볶음', '쫄단무지무침', '배추김치'], ['강낭콩밥', '육개장', '삼치데리야끼조림', '도라지오이초무침', '치즈떡어묵메추리알떡볶이', '배추김치']], [['물만두국', '순대야채볶음', '쑥갓나물', '검정콩조림', '배추김치'], ['쇠고기무두부국', '비엔나소세지야채볶음', '솎음열무나물', '오복채무침', '배추김치'], ['건새우미역국', '오리정육야채볶음', '실곤약야채무침', '고구마줄기볶음', '배추김치']], [['근대된장국', '등심돈까스&소스', '그린샐러드&유자드레싱', '가지무침', '배추김치'], ['누룽지', '해물완자전', '염장다시마&초고추장', '부추생채', '배추김치'], ['게살유부초밥', '메밀국수', '단무지잔파쏭쏭무침', '찐옥수수', '배추김치']], [['오징어무국', '치킨너겟&소스', '마카로니샐러드', '깻잎장아찌무침', '배추김치'], ['참치김치찌개', '감자채볶음', '알어묵피망조림', '참나물무침', '석박지'], ['콩나물국', '해물김치전', '치커리사과무침', '연근조림', '갓김치']], [['알어묵국', '쇠고기계란장조림', '꼬시래기무침', '무말랭이장아찌무침', '배추김치'], ['쇠고기미역국', '가자미구이', '멸치고추장무침', '오이&양파피클', '배추김치'], ['아욱된장국', '고등어카레구이', '김자반볶음', '애호박볶음', '배추김치']], [['종합어묵쑥갓국', '떡갈비새송이버섯조림', '오이지양념무침', '시금치나물', '배추김치'], ['콩나물매운국', '쇠고기야채볶음', '오징어브로컬리냉채&초고추장', '가지무침', '배추김치'], ['돈육김치찌개', '어묵잡채볶음', '새송이버섯볶음', '솎음열무나물', '알타리김치']]]"
31,"[[['미역오이냉국', '닭감자조림', '애호박볶음', '고추지무침', '배추김치'], ['아욱된장국', '오색산적전', '마늘쫑건새우엿조림', '부추생채', '배추김치'], ['하이라이스', '잔파계란국', '오이양파무침', '콩나물무침', '찐옥수수', '배추김치']], [['육개장', '청파래오징어까스&소스', '가지무침', '과일푸딩', '배추김치'], ['누룽지', '두부조림', '김자반볶음', '무생채액젓무침', '배추김치'], ['대구알탕', '돼지갈비단호박찜', '연근조림', '노각무침', '배추김치']], [['건새우미역국', '미트볼조림', '검정콩조림', '치커리사과무침', '배추김치'], ['삼색수제비국', '삼치카레구이', '오이양파무침', '쑥갓나물', '배추김치'], ['코다리두부국', '해물볶음우동', '가쓰오브시계란말이', '참나물무침', '배추김치']], [['물만두국', '비엔나소세지야채볶음', '도라지들깨볶음', '미역맛살무침', '배추김치'], ['얼갈이된장국', '돈육메추리알장조림', '명엽채볶음', '깻잎장아찌무침', '배추김치'], ['참치야채비빔밥', '팽이버섯된장국', '냉동새우튀김&케찹', '수박', '배추김치']], [['근대된장국', '탕수만두&소스', '스위트콘샐러드', '오이양파무침', '배추김치'], ['북어채계란국', '해물완자전', '감자엿조림', '시금치나물', '배추김치'], ['오징어무국', '순대야채볶음', '쑥갓두부무침', '가지무침', '배추김치']], [['돈뼈감자탕', '어묵잡채볶음', '마늘쫑건새우엿조림', '노각무침', '배추김치'], ['돈육김치찌개', '스크램블에그', '모닝빵&딸기쨈', '쥬시쿨', '깍두기'], ['김가루주먹밥', '잔치국수', '김말이튀김', '매실냉차', '배추김치']], [['장어탕', '오징어도라지초무침', '부들어묵꽈리고추볶음', '땅콩연근조림', '배추김치'], ['누룽지', '온두부&양념장', '새송이버섯볶음', '참나물무침', '배추김치'], ['유부두부장국', '소고기불고기', '가지무침', '쫄면야채무침', '배추김치']]]"
32,"[[['콩나물국', '제육볶음&상추쌈', '쥬시쿨', '배추김치'], ['물만두국', '감자채햄볶음', '오리훈제버섯볶음', '치커리사과무침', '배추김치'], ['닭고기카레라이스', '잔파계란국', '과일샐러드', '오이양파무침', '배추김치']], [['육개장', '색색야채계란찜', '멸치고추장무침', '조미김', '배추김치'], ['아욱된장국', '코다리순살무조림', '진미채볶음', '바나나', '깍두기'], ['잡곡밥', '사과오이냉국', '떡갈비새송이버섯조림', '감자채볶음', '솎음열무나물', '알타리김치']], [['찰현미밥', '건새우미역국', '삼치카레구이', '새송이버섯볶음', '숙주미나리나물', '배추김치'], ['북어채무두부국', '해물완자전', '깻잎장아찌무침', '얼갈이나물', '배추김치'], ['영양닭죽', '냉동새우튀김&케찹', '도라지오이초무침', '우무콩냉국', '배추김치']], [['감자호박고추장국', '등심돈까스&소스', '콩나물무침', '과일푸딩', '배추김치'], ['돈육김치찌개', '두부전&양념장', '무말랭이장아찌무침', '고구마줄기초무침', '갓김치'], ['검정쌀밥', '아욱된장국', '갈치카레구이', '돈육계란장조림', '노각무침', '배추김치']], [['돈뼈감자탕', '쫄면야채무침', '잡채군만두&양념장', '가지무침', '배추김치'], ['크림스프', '모닝빵&블루베리쨈', '햄벅스테이크&소스', '요구르트', '배추김치'], ['건새우미역국', '탕수육&소스', '애호박새우살볶음', '부추치커리액젓무침', '배추김치']], [['어묵무쑥갓국', '너비아니구이', '고구마줄기볶음', '김자반무침', '배추김치'], ['콩나물국', '미트볼조림', '감자메추리알조림', '새콤무생채', '배추김치'], ['짜장라이스', '잔파계란국', '단무지잔파쏭쏭무침', '매실냉차', '배추김치']], [['오징어무국', '치킨까스&소스', '스위트콘샐러드', '참나물겉절이', '배추김치'], ['삼색수제비국', '두부전&양념장', '명엽채볶음', '도토리묵치커리무침', '배추김치'], ['차조밥', '감자호박된장국', '삼치카레구이', '양배추쌈&양념장', '곤약메추리알장조림', '배추김치']]]"
33,"[[['얼갈이된장국', '고등어카레구이', '꼬시래기무침', '고구마줄기볶음', '배추김치'], ['동태탕', '계란장조림', '가지무침', '무생채액젓무침', '석박지'], ['부대찌개', '오징어야채볶음', '미역줄기볶음', '도라지오이초무침', '열무김치']], [['쇠고기미역국', '꽁치무조림', '치커리사과무침', '부추생채', '배추김치'], ['북어채계란국', '색동우엉잡채볶음', '도시락김', '노각무침', '배추김치'], ['잡곡밥', '유부팽이버섯된장국', '다진새송이해물전', '오징어야채볶음', '미역오이채초무침', '열무김치']], [['돈뼈감자탕', '잡채군만두&양념장', '쫄면야채무침', '애호박볶음', '배추김치'], ['물만두국', '비엔나소세지야채볶음', '얼갈이나물', '검정콩조림', '배추김치'], ['열무비빔국수', '미역오이냉국', '콩나물무침', '오징어링튀김', '떠먹는요거트', '배추김치']], [['오징어무국', '색색야채계란찜', '염장다시마&초고추장', '오이양파무침', '배추김치'], ['쇠고기야채죽', '돈육메추리알장조림', '쑥갓나물', '도토리묵치커리무침', '배추김치'], ['보리쌀밥', '얼갈이된장국', '제육볶음&상추쌈', '떠먹는요거트', '배추김치']], [['애호박찌개', '가자미구이', '숙주맛살무침', '오복채무침', '배추김치'], ['쇠고기무국', '삼치카레구이', '알어묵피망조림', '청경채나물', '배추김치'], ['참치김치찌개', '등심돈까스&소스', '마카로니샐러드', '참나물겉절이', '알타리김치']], [['건새우미역국', '김말이튀김', '노각무침', '오징어굴소스볶음', '배추김치'], ['감자호박고추장국', '연두부계란찜', '명엽채볶음', '가지무침', '배추김치'], ['콩국수', '오이양파무침', '찐옥수수', '요구르트', '배추김치']], [['육개장', '해물완자전', '멸치아몬드조림', '김자반무침', '배추김치'], ['누룽지', '게맛살계란말이', '도라지들깨볶음', '깻잎장아찌무침', '배추김치'], ['북어채콩나물국', '닭감자조림', '오이&양파피클', '느타리버섯볶음', '배추김치']]]"
34,"[[['얼갈이된장국', '돈육불고기', '부추생채', '유기농쌀식혜', '배추김치'], ['감자수제비국', '생선까스&소스', '고구마줄기볶음', '콩나물무침', '배추김치'], ['유부꽃어묵우동', '김가루주먹밥', '단무지잔파쏭쏭무침', '바나나우유', '배추김치']], [['참치김치찌개', '돈육잡채볶음', '솎음열무나물', '도시락김', '갓김치'], ['건새우미역국', '오리훈제야채무침', '새송이버섯볶음', '도라지오이초무침', '배추김치'], ['하이라이스', '시래기된장국', '실곤약야채무침', '부추오이무침', '바나나', '배추김치']], [['미역오이냉국', '두부조림', '삼치김치조림', '참나물무침', '배추김치'], ['물만두국', '돈육메추리알장조림', '김자반볶음', '콩나물무침', '배추김치'], ['유부팽이버섯된장국', '등심돈까스&소스', '크림스파게티&소스', '오이&양파피클', '배추김치']], [['감자호박고추장국', '돈육잡채볶음', '고구마줄기초무침', '오이생채', '배추김치'], ['종합어묵쑥갓국', '멸치아몬드조림', '느타리버섯볶음', '깻잎장아찌무침', '배추김치'], ['차조밥', '얼갈이된장국', '닭감자조림', '도토리묵치커리무침', '죽순들깨볶음', '배추김치']], [['국수장국&양념장', '알어묵고추장조림', '오이양파무침', '단호박고구마샐러드', '배추김치'], ['쇠고기미역국', '두부전&양념장', '새콤미나리무침', '숙주나물', '배추김치'], ['차조밥', '추어탕', '어묵잡채볶음', '콩나물무침', '김자반무침', '깍두기']], [['오징어무국', '게맛살계란말이', '애호박새우젓볶음', '마늘쫑장아찌무침', '배추김치'], ['동태알탕', '감자엿조림', '도토리묵치커리무침', '얼갈이나물', '깍두기'], ['호박두부된장국', '돈수육&새우젓무침', '부추오이무침', '배추김치']], [['콩나물김치국', '탕수육칠리소스볶음', '새송이버섯새우살볶음', '부추생채', '알타리김치'], ['팽이버섯된장국', '삼치카레구이', '검정콩조림', '가지무침', '배추김치'], ['유부꽃어묵우동', '치킨또띠아', '오징어시금치초무침', '포도', '배추김치']]]"
35,"[[['장어탕', '고구마튀김', '사각어묵꽈리고추볶음', '깻잎지', '배추김치'], ['육개장', '색색야채계란찜', '멸치꽈리고추조림', '쑥갓나물', '배추김치'], ['차조밥', '참치김치찌개', '쇠고기메추리알장조림', '순대야채볶음', '오징어젓무침', '석박지']], [['종합어묵쑥갓국', '오징어야채볶음', '스크램블에그', '미나리나물', '배추김치'], ['물만두국', '갈치무조림', '콩나물무침', '도토리묵치커리무침', '배추김치'], ['얼갈이된장국', '고구마치즈돈까스&소스', '골뱅이오이초무침', '무새우살나물', '배추김치']], [['동태알탕', '동그랑땡전', '멸치아몬드조림', '솎음열무나물', '갓김치'], ['쇠고기알토란탕', '참조기구이', '김자반무침', '시금치나물', '배추김치'], ['검정쌀밥', '근대된장국', '갈치카레구이', '비엔나소세지야채볶음', '꼬시래기무침', '배추김치']], [['돼지등뼈시래기탕', '감자엿조림', '오징어도라지초무침', '오리훈제야채무침', '배추김치'], ['북어채무두부국', '삼치김치조림', '명엽채볶음', '오이양파무침', '깍두기'], ['콩나물밥&부추양념장', '얼갈이된장국', '게맛살계란말이', '배추김치', '찐고구마', '떠먹는요거트']], [['보리쌀밥', '무우오뎅국', '제육볶음', '콩나물무침', '오이지양념무침', '배추김치'], ['누룽지', '계란장조림', '진미채볶음', '부추나물', '알타리김치'], ['육개장', '분홍소세지전', '애호박새우젓볶음', '새콤무생채', '배추김치']], [['아욱된장국', '꽁치무조림', '숙주맛살무침', '오징어브로컬리냉채&초고추장', '배추김치'], ['오징어무국', '비엔나소세지야채볶음', '멸치엿조림', '깻잎지', '백김치'], ['잔치국수', '사각어묵꽈리고추볶음', '오이양파무침', '배추김치', '단호박고구마샐러드']], [['얼갈이된장국', '돈육잡채볶음', '도토리묵치커리무침', '느타리버섯볶음', '배추김치'], ['동태알탕', '새우젓계란찜', '느타리버섯새우살볶음', '상추겉절이', '깍두기'], ['해물굴소스볶음밥', '잔파계란국', '실곤약야채무침', '알어묵고추장조림', '과일샐러드', '배추김치']]]"
36,"[[['코다리두부국', '쫄면야채무침', '비엔나소세지야채볶음', '부추생채', '배추김치'], ['매콤어묵국', '두부전&양념장', '김자반볶음', '꼴두기젓무침', '배추김치'], ['곤드레나물밥&양념장', '꽃게탕', '오리정육야채볶음', '새송이버섯볶음', '멸치아몬드조림', '배추김치']], [['건새우아욱된장국', '감자엿조림', '어묵떡볶이', '무새우살나물', '배추김치'], ['참치김치찌개', '오징어굴소스볶음', '연두부&양념장', '깻잎순볶음', '깍두기'], ['보리쌀밥', '무우오뎅국', '참치야채볶음', '게맛살계란말이', '미역맛살무침', '석박지']], [['새우살미역국', '돈육잡채볶음', '새송이버섯볶음', '오징어도라지초무침', '갓김치'], ['오징어무국', '두부조림', '김가루무침', '오이생채', '배추김치'], ['검정쌀밥', '쇠고기무두부국', '가자미구이', '탕수만두&소스', '콩나물매운무침', '배추김치']], [['찰현미밥', '두부된장국', '쇠고기메추리알장조림', '애호박전', '가지무침', '배추김치'], ['콩나물매운국', '삼치무조림', '표고버섯새우살볶음', '쑥갓두부무침', '배추김치'], ['영양밥&양념장', '얼갈이된장국', '돼지갈비떡찜', '도라지오이초무침', '숙주나물', '배추김치']], [['육개장', '해물김치전', '감자엿조림', '멸치젓무침', '배추김치'], ['쇠고기미역국', '온두부&양념장', '명엽채볶음', '무생채액젓무침', '참치김치볶음'], ['팽이버섯된장국', '고구마치즈돈까스&소스', '김가루무침', '솎음열무초고추장무침', '배추김치']], [['돼지등뼈시래기탕', '고구마맛탕', '느타리버섯새우살볶음', '분홍소세지전', '배추김치'], ['누룽지', '새우젓계란찜', '진미채볶음', '얼갈이나물', '갓김치'], ['물만두국', '꽁치김치조림', '콩나물무침', '해물완자전', '열무김치']], [['돈육김치찌개', '계란야채말이', '꼴두기젓무침', '깻잎순나물', '알타리김치'], ['근대된장국', '삼치카레구이', '애호박새우젓볶음', '미역오이채초무침', '배추김치'], ['검정쌀밥', '북어채무두부국', '닭감자조림', '미역줄기볶음', '무생채액젓무침', '배추김치']]]"
37,"[[['팽이버섯된장국', '대구콩나물찜', '해물볶음우동', '무생채액젓무침', '배추김치'], ['코다리두부국', '동그랑땡전', '어묵고추장볶음', '마늘쫑장아찌무침', '배추김치'], ['카레라이스', '우렁살된장찌개', '사각어묵고추장볶음', '시금치나물', '요구르트', '배추김치']], [['건새우미역국', '꽁치무조림', '연두부&양념장', '통배추나물', '열무김치'], ['꽃게된장국', '비엔나소세지야채볶음', '도토리묵상추무침', '꼴두기젓무침', '깍두기'], ['보리쌀밥', '콩나물맑은국', '제육볶음&상추쌈', '진미채볶음', '매실냉차', '배추김치']], [['버섯들깨탕', '온두부&양념장', '참치야채볶음', '김가루무침', '배추김치'], ['감자수제비국', '쇠고기야채볶음', '팽이버섯볶음', '오이지양념무침', '배추김치'], ['검정콩밥', '닭곰탕', '해물김치전', '갈비산적조림', '부추오이무침', '열무김치']], [['건새우아욱된장국', '돼지갈비조랭이떡찜', '미역오이채초무침', '얼갈이나물', '석박지'], ['동태알탕', '오징어굴소스볶음', '도토리묵상추무침', '콩나물무침', '배추김치'], ['오리탕', '고등어무조림', '해물완자전', '깻잎지', '배추김치']], [['자장밥', '잔파계란국', '골뱅이오이초무침', '요구르트', '배추김치'], ['누룽지', '계란장조림', '미역줄기볶음', '새콤무생채', '배추김치'], ['코다리두부국', '멸치아몬드조림', '쫄면야채무침', '솎음열무나물', '배추김치']], [['육개장', '탕수육칠리소스볶음', '김자반무침', '오이양파무침', '배추김치'], ['만두국', '가자미구이', '미역줄기볶음', '쑥갓두부무침', '배추김치'], ['두부호박청국장국', '꽁치무조림', '김자반무침', '깻잎지', '백김치']], [['북어채계란국', '쇠고기야채볶음', '해물완자전', '도라지나물', '배추김치'], ['돈육김치찌개', '참조기구이', '고사리들깨볶음', '두부전&양념장', '알타리김치'], ['쇠고기무두부국', '동태포전', '표고버섯새우살볶음', '배추김치', '참모시송편(기피)']]]"
38,"[[['보리쌀밥', '쇠고기미역국', '닭감자조림', '애호박새우젓볶음', '숙주나물', '배추김치'], ['순두부맑은탕', '해물파전', '염장다시마&초고추장', '무새우살나물', '배추김치'], ['아욱된장국', '제육볶음&상추쌈', '콩나물무침', '포도쥬스', '배추김치']], [['돈육김치찌개', '해물완자전', '오징어젓무침', '참나물겉절이', '깍두기'], ['얼갈이된장국', '갈치무조림', '멸치꽈리고추조림', '시금치나물', '배추김치'], ['콩나물맑은국', '돈육잡채볶음', '감자채볶음', '부추오이무침', '배추김치']], [['오징어무국', '감자채햄볶음', '미역줄기볶음', '오이생채', '배추김치'], ['누룽지', '쇠고기메추리알장조림', '마늘쫑장아찌무침', '솎음열무나물', '배추김치'], ['찰현미밥', '돈뼈감자탕', '오리훈제버섯볶음', '미역오이채초무침', '가쓰오브시계란말이', '배추김치']], [['북어채무두부국', '제육볶음&상추쌈', '콩나물무침', '배추김치'], ['코다리두부국', '비엔나소세지야채볶음', '검정콩조림', '새콤무생채', '배추김치'], ['김가루주먹밥', '잔치국수', '과일음료', '오징어시금치초무침', '샐러드식빵', '배추김치']], [['참치김치찌개', '어묵떡볶이', '염장다시마&초고추장', '솎음열무나물', '알타리김치'], ['옥수수스프', '모닝빵&블루베리쨈', '청파래오징어까스&소스', '쫄단무지무침', '배추김치'], ['북어채콩나물국', '삼치김치조림', '깻잎순볶음', '명엽채볶음', '배추김치']], [['유부팽이버섯된장국', '돈육메추리알장조림', '미역줄기볶음', '쑥갓두부무침', '배추김치'], ['근대된장국', '새우젓계란찜', '느타리버섯새우살볶음', '꼴두기젓무침', '배추김치'], ['코다리두부국', '닭감자조림', '진미채볶음', '메밀묵김가루무침', '배추김치']], [['돈뼈감자탕', '해물김치전', '쫄면야채무침', '김자반볶음', '알타리김치'], ['종합어묵쑥갓국', '참조기구이', '무새우살나물', '시금치나물', '배추김치'], ['검정쌀밥', '쇠고기미역국', '닭감자조림', '멸치아몬드조림', '새송이버섯새우살볶음', '배추김치']]]"
39,"[[['돈육김치찌개', '갈치카레구이', '감자채햄볶음', '쑥갓나물', '깍두기'], ['코다리두부국', '비엔나소세지야채볶음', '미역줄기볶음', '숙주미나리나물', '배추김치'], ['닭고기카레라이스', '시래기된장국', '콩나물매운무침', '유기농쌀식혜', '꼬시래기무침', '배추김치']], [['건새우미역국', '등심돈까스&소스', '샐러드&키위드레싱', '시금치나물', '배추김치'], ['동태탕', '소고기불고기', '도라지나물', '숙주맛살무침', '배추김치'], ['찰현미밥', '쇠고기무두부국', '돈육잡채볶음', '김말이튀김', '오이양파무침', '배추김치']], [['우렁살된장찌개', '온두부&양념장', '오징어무미나리초무침', '마늘쫑장아찌무침', '참치김치볶음'], ['누룽지', '색색야채계란찜', '명엽채볶음', '가지무침', '배추김치'], ['해물굴소스볶음밥', '잔파계란국', '양배추&무 피클', '골뱅이오이초무침', '고구마튀김', '배추김치']], [['육개장', '생선까스&소스', '도토리묵상추무침', '숙주맛살무침', '배추김치'], ['유부팽이버섯된장국', '미트볼조림', '스크램블에그', '미역오이채초무침', '배추김치'], ['차조밥', '콩나물김치국', '오리훈제버섯볶음', '해물볶음우동', '무생채액젓무침', '알타리김치']], [['감자호박된장국', '어묵떡볶이', '순대야채볶음', '무새우살나물', '배추김치'], ['북어채무두부국', '게맛살계란말이', '오이생채', '새콤미나리무침', '배추김치'], ['검정쌀밥', '꽃게탕', '돈육잡채볶음', '조미김', '부추나물', '배추김치']], [['콩나물국', '오삼불고기', '쌈무&오이스틱', '얼갈이나물', '배추김치'], ['삼색수제비국', '동그랑땡전', '멸치고추장무침', '감자채볶음', '배추김치'], ['참치김치찌개', '꽁치무조림', '연두부&양념장', '고추지무침', '배추김치']], [['오징어무국', '삼치김치조림', '감자채볶음', '가지무침', '알타리김치'], ['코다리두부국', '계란후라이', '도라지나물', '마늘쫑건새우엿조림', '배추김치'], ['기장밥', '돈뼈감자탕', '온두부&양념장', '비엔나소세지야채볶음', '솎음열무나물', '참치김치볶음']]]"
